METRIC,PRODUCT,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
Spend,1,62717.14,56355.78,6361.36,0.11
Spend,2,1037739.72,979580.56,58159.16,0.06
Spend,3,4084428.18,3880807.25,203620.93,0.05
Units,1,25117.02,22537.94,2579.08,0.11
Units,2,506365.64,479277.36,27088.28,0.06
Units,3,1771305.29,1682430.67,88874.62,0.05
Visits,1,22661.99,20480.76,2181.23,0.11
Visits,2,413568.96,391852.96,21716,0.06
Visits,3,1220181.72,1161775.92,58405.8,0.05
Total_custs,1,15827,14346.53,1480.47,0.1
Total_custs,2,301593,282900.38,18692.62,0.07
Total_custs,3,795653,749896.76,45756.24,0.06
